iter	RMSE
664	0.8447628936
665	0.8447473221
666	0.8447254483
667	0.8447078885
668	0.8446725371
669	0.84465209
670	0.8446270269
671	0.8446090096
672	0.8445841765
673	0.8445491413
674	0.8445325839
675	0.8445142361
676	0.8444715417
677	0.8444615944
678	0.8444502138
679	0.844437191
680	0.844395911
681	0.8443745644
682	0.8443419654
683	0.8443069021
684	0.8442841535
685	0.8442625611
686	0.8442463111
687	0.8442340832
688	0.844214753
689	0.8441978354
690	0.8441776078
691	0.8441570747
692	0.8441382444
693	0.8441043612
694	0.8440835496
695	0.8440735731
696	0.8440623724
697	0.8440438412
698	0.8440310617
699	0.8440063427
700	0.8439732932
701	0.8439498373
702	0.8439247789
703	0.843898446
704	0.8438797926
705	0.843848042
706	0.8438277834
707	0.8438042326
708	0.8437787253
709	0.8437694236
710	0.8437536647
711	0.8437334174
712	0.8437085603
713	0.843678957
714	0.8436674457
715	0.8436564714
716	0.8436289789
717	0.8436119661
718	0.8435967948
719	0.8435831527
720	0.8435669361
721	0.8435534581
722	0.8435279215
723	0.8435093803
724	0.8434936344
725	0.8434723139
726	0.8434449041
727	0.8434156149
728	0.8433900567
729	0.8433706185
730	0.8433512045
731	0.8433359252
732	0.843317832
733	0.8433077193
734	0.8432761288
735	0.8432519909
736	0.843227491
737	0.8432198178
738	0.8431936758
739	0.8431553621
740	0.8431272847
741	0.8431158587
742	0.8430917615
743	0.8430777921
744	0.843067645
745	0.8430471957
746	0.8430348601
747	0.8430047089
748	0.8429775287
749	0.8429560661
750	0.8429391639
751	0.842921327
752	0.8429087493
753	0.8428982571
754	0.8428731296
755	0.8428429275
756	0.842823619
757	0.8428041201
758	0.8427829203
759	0.842764923
760	0.842751083
761	0.8427324802
762	0.8427150688
763	0.8426950456
764	0.8426778713
765	0.8426655017
766	0.8426409671
767	0.8426158464
768	0.8425956523
769	0.8425614337
770	0.8425425947
771	0.8425053802
772	0.8424881806
773	0.84248059
774	0.8424694461
775	0.8424593577
776	0.8424209921
777	0.8424031656
778	0.8423824223
779	0.8423624262
780	0.8423369511
781	0.8423247502
782	0.8423145494
783	0.8422777266
784	0.8422357079
785	0.8422058083
786	0.8421972181
787	0.8421852797
788	0.8421693358
789	0.8421544888
790	0.8421371853
791	0.8421241472
792	0.8421107511
793	0.842105129
794	0.8420892633
795	0.842070548
796	0.8420321323
797	0.8420108894
798	0.8419822
799	0.8419695521
800	0.8419532611
801	0.841940158
802	0.8419204613
803	0.8419109955
804	0.8418913191
805	0.8418750606
806	0.8418484407
807	0.8418349954
808	0.8418143901
809	0.8417982222
810	0.841766064
811	0.8417485258
812	0.8417350685
813	0.841721517
814	0.84169723
815	0.8416560476
816	0.8416308998
817	0.8416033404
818	0.8415677899
819	0.8415525373
820	0.8415302482
821	0.8415216485
822	0.8415040841
823	0.8414915974
824	0.8414844828
825	0.8414641144
826	0.8414462095
827	0.8414250433
828	0.8413779656
829	0.8413644556
830	0.8413489598
831	0.8413355159
832	0.8413236978
833	0.8412907801
834	0.8412713589
835	0.8412564347
836	0.8412371262
837	0.8412215905
838	0.8412054908
839	0.8411902792
840	0.8411746043
841	0.8411659484
842	0.8411425455
843	0.8411286572
844	0.8411119207
845	0.8410905649
846	0.8410767916
847	0.8410632675
848	0.8410477907
849	0.8410261786
850	0.8409878168
851	0.8409699509
852	0.840962017
853	0.8409503768
854	0.8409257457
855	0.840907436
856	0.8408755327
857	0.8408407345
858	0.8408107908
859	0.8407922167
860	0.8407541602
861	0.8407408799
862	0.8407068714
863	0.8406935199
864	0.8406744259
865	0.8406629119
866	0.8406376448
867	0.8406127659
868	0.8405949044
869	0.8405864851
870	0.8405667254
871	0.8405364168
872	0.8405194027
873	0.8404963345
874	0.8404783537
875	0.8404490661
876	0.840416144
877	0.8403997979
878	0.8403759049
879	0.8403674534
880	0.8403508097
881	0.8403386961
882	0.8403093569
883	0.8403009993
884	0.8402870035
885	0.8402419386
886	0.8402287548
887	0.8402164439
888	0.8401993096
889	0.8401788209
890	0.8401622245
891	0.8401467494
892	0.8401285243
893	0.8401109912
894	0.8400998983
895	0.8400744907
896	0.8400606117
897	0.8400479239
898	0.8400314851
899	0.840024755
900	0.8400081598
901	0.8399894972
902	0.8399752347
903	0.8399554242
904	0.8399389135
905	0.8399200054
906	0.8399083892
907	0.8398907473
908	0.8398707172
909	0.8398588416
910	0.8398265051
911	0.8398070048
912	0.8397820126
913	0.8397647002
914	0.8397539392
915	0.839731695
916	0.8397164828
917	0.8397072624
918	0.839676746
919	0.8396580369
920	0.8396501192
921	0.8396336819
922	0.839619726
923	0.8396051517
924	0.8395912948
925	0.8395789901
926	0.8395573538
927	0.8395291253
928	0.8395053231
929	0.8394890693
930	0.8394790423
931	0.8394669753
932	0.8394516952
933	0.8394266084
934	0.8394155827
935	0.8393786495
936	0.8393721113
937	0.8393657211
938	0.8393530137
939	0.8393451067
940	0.8393342572
941	0.8393103976
942	0.8392961681
943	0.8392808862
944	0.8392691222
945	0.8392553118
946	0.8392370262
947	0.8392199329
948	0.8392139831
949	0.8392045514
950	0.8391954206
951	0.8391616378
952	0.839145444
953	0.8391403031
954	0.8391212131
955	0.8391045041
956	0.8390714844
957	0.8390511915
958	0.8390355352
959	0.8390242708
960	0.8390132992
961	0.8390048885
962	0.8389920945
963	0.8389753831
964	0.8389624965
965	0.8389568413
966	0.8389370678
967	0.8389148828
968	0.8389032133
969	0.838897768
970	0.838874032
971	0.8388576635
972	0.8388413282
973	0.8388140142
974	0.8387965122
975	0.8387767955
976	0.8387663681
977	0.8387546758
978	0.8387416806
979	0.8387250037
980	0.8387141225
981	0.8387046134
982	0.8386892491
983	0.8386789627
984	0.8386673035
985	0.8386431683
986	0.8386250858
987	0.8386115779
988	0.8385935777
989	0.838587736
990	0.8385742974
991	0.8385635817
992	0.8385283019
993	0.8384944732
994	0.8384737156
995	0.8384567148
996	0.8384354351
997	0.8384243006
998	0.8384128398
999	0.8384056846
1000	0.8383828
1001	0.8383756245
1002	0.8383528388
1003	0.8383344471
1004	0.8383160506
1005	0.8383067853
1006	0.8383016755
1007	0.8382886867
1008	0.8382754249
1009	0.8382524148
1010	0.8382285044
1011	0.8381989189
1012	0.8381905377
1013	0.8381809481
1014	0.8381590757
1015	0.8381469748
1016	0.8381330297
1017	0.8381119942
1018	0.8381048028
1019	0.8380927189
1020	0.8380779019
1021	0.8380628687
1022	0.8380555276
1023	0.8380346859
1024	0.8380205786
1025	0.8380024467
1026	0.8379878643
1027	0.8379671277
1028	0.8379526098
1029	0.8379442953
1030	0.8379317508
1031	0.8379226309
1032	0.8379156918
1033	0.8378954133
1034	0.8378809314
1035	0.837873782
1036	0.8378560823
1037	0.8378457456
1038	0.8378286482
1039	0.8378053256
1040	0.8377925059
1041	0.8377709557
1042	0.8377604201
1043	0.8377468836
1044	0.8377341065
1045	0.8377236498
1046	0.8377112196
1047	0.8376976714
1048	0.8376666473
1049	0.837638495
1050	0.8376141293
1051	0.8375973627
1052	0.8375784489
1053	0.837547309
1054	0.8375314744
1055	0.8375241779
1056	0.8375141901
1057	0.8374881419
1058	0.837475319
1059	0.8374575078
1060	0.8374471869
1061	0.8374335045
1062	0.8374237679
1063	0.8374081385
1064	0.8373894497
1065	0.8373790913
1066	0.8373621819
1067	0.8373522781
1068	0.8373356271
1069	0.8373215423
1070	0.8373107621
1071	0.8372929178
1072	0.8372721683
1073	0.8372590111
1074	0.8372375215
1075	0.8372261273
1076	0.8372172516
1077	0.8372036414
1078	0.837188067
1079	0.8371724129
1080	0.8371591054
1081	0.8371329122
1082	0.8371213388
1083	0.8371114254
1084	0.8370951455
1085	0.8370842167
1086	0.8370690663
1087	0.8370365731
1088	0.8370242583
1089	0.8370144892
1090	0.8370077886
1091	0.8369941017
1092	0.836988741
1093	0.8369723077
1094	0.836940182
1095	0.8368994561
1096	0.8368858564
1097	0.8368780368
1098	0.8368605028
1099	0.8368510703
1100	0.8368392463
1101	0.8368305838
1102	0.8368186504
1103	0.8368091736
1104	0.8367933169
1105	0.836780562
1106	0.8367717076
1107	0.8367615138
1108	0.8367442295
1109	0.8367327566
1110	0.8367219814
1111	0.8367092231
1112	0.8366955699
1113	0.8366860848
1114	0.8366798061
1115	0.8366660591
1116	0.8366526655
1117	0.836642581
1118	0.83662824
1119	0.8366059424
1120	0.8365838007
1121	0.836565224
1122	0.836547117
1123	0.8365288563
1124	0.8365084407
1125	0.8364972637
1126	0.8364805391
1127	0.8364503878
1128	0.8364405754
1129	0.836425406
1130	0.8364076808
1131	0.8363934049
1132	0.8363803256
1133	0.8363737857
1134	0.8363659879
1135	0.8363563182
1136	0.8363450806
1137	0.8363326981
1138	0.8363131107
1139	0.8362981501
1140	0.836284244
1141	0.8362749136
1142	0.836264469
1143	0.8362445538
1144	0.8362366058
1145	0.8362255458
1146	0.8362167905
1147	0.836200986
1148	0.8361808378
1149	0.8361615246
1150	0.8361449228
1151	0.8361270195
1152	0.83611028
1153	0.8360920054
1154	0.8360779183
1155	0.8360669248
1156	0.8360574091
1157	0.8360435558
1158	0.8360312261
1159	0.8360150531
1160	0.835999222
1161	0.8359864811
1162	0.83595854
1163	0.8359383001
1164	0.835928763
1165	0.8359181571
1166	0.8358985498
1167	0.8358910614
1168	0.8358830321
1169	0.8358740429
1170	0.8358555877
1171	0.8358284122
1172	0.8358236416
1173	0.8358120524
1174	0.8357861859
1175	0.8357767145
1176	0.8357662092
1177	0.8357542576
1178	0.8357418655
1179	0.8357330015
1180	0.835722091
1181	0.8357078037
1182	0.835694044
1183	0.8356799269
1184	0.8356662234
1185	0.8356540363
1186	0.835649566
1187	0.835637613
1188	0.8356212473
1189	0.8356075557
1190	0.8355936569
1191	0.8355711576
1192	0.8355600963
1193	0.8355512866
1194	0.8355409352
1195	0.8355253171
1196	0.8355109659
1197	0.8354947147
1198	0.8354885981
1199	0.8354723571
1200	0.8354562144
1201	0.8354461413
1202	0.8354298103
1203	0.835416111
1204	0.835403661
1205	0.835391749
1206	0.8353781983
1207	0.8353602711
1208	0.8353411397
1209	0.8353235758
1210	0.8353162007
1211	0.835299782
1212	0.8352842943
1213	0.8352673613
1214	0.8352478737
1215	0.8352291544
1216	0.8352146196
1217	0.8352048751
1218	0.8351927629
1219	0.8351841259
1220	0.8351648614
1221	0.8351353255
1222	0.8351233012
1223	0.8351076112
1224	0.8350999607
1225	0.8350918758
1226	0.8350794416
1227	0.8350619396
1228	0.83503379
1229	0.8350226195
1230	0.8350088737
1231	0.8349903597
1232	0.8349820751
1233	0.8349771937
1234	0.8349672127
1235	0.8349590824
1236	0.8349486199
1237	0.8349412155
1238	0.8349303901
1239	0.8349121113
1240	0.8348955712
1241	0.8348800613
1242	0.8348648042
1243	0.8348557895
1244	0.8348463906
1245	0.8348321984
1246	0.8348224619
1247	0.8348113109
1248	0.8347951678
1249	0.8347795853
1250	0.8347669085
1251	0.8347524525
1252	0.8347349728
1253	0.8347172687
1254	0.8347037265
1255	0.8346764199
1256	0.8346535106
1257	0.8346392269
1258	0.8346224968
1259	0.8346138829
1260	0.8346082362
1261	0.8345889269
1262	0.8345746856
1263	0.8345517776
1264	0.8345409772
1265	0.8345331119
1266	0.8345180504
1267	0.8345033763
1268	0.8344927792
1269	0.8344795432
1270	0.834462758
1271	0.8344497786
1272	0.834429457
1273	0.8344063027
1274	0.8343775701
1275	0.8343644989
1276	0.8343541934
1277	0.8343456231
1278	0.8343246667
1279	0.8343135756
1280	0.8342839131
1281	0.8342732234
1282	0.8342656717
1283	0.834254796
1284	0.8342394464
1285	0.8342235886
1286	0.8341980475
1287	0.8341909847
1288	0.8341805792
1289	0.8341663785
1290	0.8341548374
1291	0.8341258299
1292	0.8341193583
1293	0.8341087205
1294	0.8340932997
1295	0.8340769272
1296	0.8340604281
1297	0.8340525842
1298	0.8340431963
1299	0.8340301879
1300	0.8340263188
1301	0.8340028133
1302	0.8339863105
1303	0.8339721449
1304	0.8339618165
1305	0.8339380234
1306	0.8339098762
1307	0.8338970715
1308	0.8338852048
1309	0.8338804797
1310	0.8338762398
1311	0.8338584421
1312	0.8338489313
1313	0.8338355656
1314	0.8338183979
1315	0.8338002883
1316	0.8337879455
1317	0.8337739271
1318	0.8337637232
1319	0.8337411463
1320	0.8337253448
1321	0.8337115623
1322	0.8337006857
1323	0.8336944555
1324	0.8336727568
1325	0.8336599593
1326	0.83364862
1327	0.8336278291
1328	0.8336225604
1329	0.833604467
1330	0.8335918327
1331	0.833566795
1332	0.8335574371
1333	0.8335440675
1334	0.8335373571
1335	0.8335196508
1336	0.8335081856
1337	0.8334878544
1338	0.8334745429
1339	0.8334581173
1340	0.8334444124
1341	0.8334228307
1342	0.8334134238
1343	0.8334047592
1344	0.8333874792
1345	0.8333691069
1346	0.8333507409
1347	0.8333329495
1348	0.8333272664
1349	0.8333154885
1350	0.833310334
1351	0.8332963031
1352	0.8332837934
1353	0.8332700854
1354	0.8332567203
1355	0.8332445467
1356	0.8332342851
1357	0.8332160777
1358	0.833201336
1359	0.8331918192
1360	0.8331807168
1361	0.8331720731
1362	0.8331625818
1363	0.8331516175
1364	0.8331429243
1365	0.8331300484
1366	0.8331162105
1367	0.8331028492
1368	0.8330892125
1369	0.8330802862
1370	0.833068028
1371	0.8330592496
1372	0.833046463
1373	0.8330285956
1374	0.8330103812
1375	0.8329931635
1376	0.8329765768
1377	0.8329674743
1378	0.8329567393
1379	0.8329492722
1380	0.8329382575
1381	0.8329310305
1382	0.8329034063
1383	0.8328870699
1384	0.8328737367
1385	0.8328655569
1386	0.8328582323
1387	0.8328511071
1388	0.8328449377
1389	0.832837378
1390	0.8328266694
1391	0.8327963878
1392	0.8327866662
1393	0.8327751535
1394	0.8327590069
1395	0.8327466575
1396	0.8327337141
1397	0.8327222291
1398	0.8327153205
1399	0.8327067412
1400	0.8326672741
1401	0.8326488461
1402	0.832634547
1403	0.832622752
1404	0.8326103592
1405	0.8325943195
1406	0.832580574
1407	0.8325688558
1408	0.8325515317
1409	0.8325418307
1410	0.8325360162
1411	0.8325201713
1412	0.8325073359
1413	0.8324958301
1414	0.8324885053
1415	0.8324667258
1416	0.8324516367
1417	0.8324417048
1418	0.8324271385
1419	0.8324147435
1420	0.8324100909
1421	0.8324053354
1422	0.832395054
1423	0.8323811215
1424	0.8323740498
1425	0.8323616547
1426	0.8323564873
1427	0.83234384
1428	0.8323357456
1429	0.83232823
1430	0.8323132398
1431	0.8323000471
1432	0.832286222
1433	0.8322737149
1434	0.8322578405
1435	0.832249359
1436	0.8322321597
1437	0.8322253972
1438	0.8322109202
1439	0.8321963119
1440	0.8321841225
1441	0.8321724565
1442	0.8321598949
1443	0.8321443797
1444	0.8321296196
1445	0.8321129657
1446	0.8321013547
1447	0.8320936574
1448	0.8320774648
1449	0.8320656566
1450	0.8320532611
1451	0.8320441838
1452	0.8320300867
1453	0.8320220124
1454	0.8320136182
1455	0.832007582
1456	0.8319962306
1457	0.8319910224
1458	0.8319830292
1459	0.8319651988
1460	0.8319525679
1461	0.8319418234
1462	0.8319327034
1463	0.8319206514
1464	0.8319038757
1465	0.8318927672
1466	0.8318851594
1467	0.8318724475
1468	0.8318530796
1469	0.8318342654
1470	0.8318221561
1471	0.8318091263
1472	0.8317953989
1473	0.8317798477
1474	0.8317689974
1475	0.8317615422
1476	0.8317519048
1477	0.8317401739
1478	0.831732715
1479	0.8317219502
1480	0.8317059261
1481	0.8316675311
1482	0.8316437301
1483	0.8316175563
1484	0.831607994
1485	0.8316002721
1486	0.8315895555
1487	0.8315736445
1488	0.8315530499
1489	0.831525663
1490	0.8315150481
1491	0.8314903671
1492	0.8314792839
1493	0.8314637416
1494	0.8314548833
1495	0.8314503225
1496	0.8314391839
1497	0.8314278962
1498	0.8314145576
1499	0.8314009225
1500	0.8313916228
1501	0.8313810074
1502	0.8313723499
1503	0.8313589489
1504	0.8313514968
1505	0.8313383226
1506	0.8313253347
1507	0.8313178535
1508	0.8313019409
1509	0.8312964724
1510	0.8312907186
