iter	Passed	Remaining
587	531905	4895699
588	532788	4894594
589	533669	4893479
590	534604	4892849
591	535402	4890972
592	536230	4889377
593	536989	4887148
594	537753	4884970
595	538608	4883625
596	539387	4881595
597	540213	4879992
598	541165	4879527
599	541884	4876959
600	542835	4876484
601	543744	4875639
602	544592	4874240
603	545469	4873099
604	546299	4871544
605	547188	4870522
606	548156	4870197
607	549031	4869044
608	549720	4866241
609	550539	4864600
610	551337	4862777
611	552169	4861257
612	553096	4860570
613	553973	4859446
614	554679	4856828
615	555491	4855136
616	556300	4853430
617	557252	4852961
618	558118	4851757
619	559040	4851030
620	559858	4849398
621	560636	4847433
622	561659	4847581
623	562536	4846471
624	563532	4846378
625	564525	4846265
626	565478	4845801
627	566353	4844671
628	567197	4843267
629	568084	4842245
630	569021	4841643
631	569898	4840533
632	570671	4838534
633	571406	4836227
634	572447	4836508
635	573105	4833547
636	574179	4834105
637	574845	4831226
638	575778	4830593
639	576591	4828952
640	577468	4827855
641	578349	4826785
642	579414	4827249
643	580304	4826255
644	581326	4826359
645	582324	4826260
646	583311	4826066
647	584348	4826285
648	585361	4826298
649	586153	4824497
650	587126	4824180
651	588193	4824633
652	589353	4825842
653	590384	4825988
654	591678	4828276
655	593098	4831578
656	594177	4832103
657	595535	4834882
658	596625	4835475
659	597763	4836450
660	598900	4837410
661	600075	4838677
662	601017	4838052
663	601959	4837434
664	603152	4838824
665	604280	4839688
666	605359	4840156
667	606614	4842018
668	607911	4844206
669	609005	4844776
670	610191	4846068
671	611074	4844951
672	612298	4846531
673	613240	4845870
674	614537	4848015
675	615588	4848213
676	616456	4846968
677	617237	4845039
678	618052	4843386
679	619068	4843300
680	619998	4842542
681	620826	4840989
682	621704	4839830
683	622672	4839368
684	623507	4837875
685	624225	4835468
686	625171	4834845
687	625958	4832981
688	626809	4831616
689	627618	4829934
690	628513	4828909
691	629192	4826233
692	630199	4826073
693	631083	4824972
694	631990	4824039
695	633029	4824118
696	633890	4822844
697	634677	4821004
698	635366	4818419
699	636214	4817051
700	637178	4816559
701	638197	4816483
702	638968	4814530
703	639666	4812037
704	640658	4811754
705	641373	4809392
706	642191	4807806
707	643104	4806932
708	643929	4805402
709	644793	4804169
710	645580	4802354
711	646493	4801483
712	647322	4799995
713	648173	4798662
714	649035	4797418
715	649741	4795016
716	650626	4793949
717	651609	4793595
718	652395	4791797
719	653166	4789888
720	653874	4787520
721	654965	4787962
722	655891	4787194
723	656651	4785212
724	657307	4782478
725	658376	4782752
726	659331	4782190
727	660146	4780618
728	660981	4779192
729	661693	4776885
730	662534	4775505
731	663543	4775338
732	664358	4773775
733	665348	4773467
734	666394	4773563
735	667217	4772052
736	668056	4770668
737	668946	4769639
738	669780	4768218
739	670744	4767723
740	671659	4766875
741	672451	4765158
742	673404	4764585
743	674288	4763525
744	675256	4763048
745	676319	4763247
746	677205	4762192
747	677970	4760292
748	678791	4758788
749	679384	4755691
750	680087	4753365
751	681141	4753498
752	682020	4752404
753	682821	4750768
754	683815	4750477
755	684892	4750761
756	685807	4749917
757	686700	4748926
758	687548	4747619
759	688404	4746365
760	689293	4745348
761	690385	4745722
762	691461	4745983
763	692426	4745477
764	693324	4744514
765	694245	4743708
766	695192	4743079
767	696273	4743363
768	697460	4744361
769	698275	4742830
770	699184	4741938
771	700080	4740961
772	701298	4742156
773	702582	4743794
774	703931	4745859
775	704983	4745917
776	706088	4746331
777	707617	4749584
778	708533	4748719
779	709706	4749573
780	710736	4749464
781	711927	4750435
782	712798	4749259
783	714139	4751215
784	715401	4752637
785	716288	4751559
786	717172	4750470
787	718146	4749971
788	719119	4749470
789	720087	4748930
790	721001	4748037
791	721903	4747060
792	722612	4744819
793	723435	4743329
794	724265	4741891
795	725093	4740435
796	725886	4738751
797	726781	4737738
798	727567	4736017
799	728295	4733921
800	729182	4732860
801	730197	4732628
802	731123	4731813
803	732037	4730927
804	732984	4730251
805	733870	4729184
806	734709	4727813
807	735724	4727574
808	736471	4725613
809	737263	4723947
810	738282	4723732
811	739156	4722592
812	739885	4720523
813	740702	4719018
814	741444	4717044
815	742298	4715781
816	743356	4715810
817	744228	4714658
818	744976	4712726
819	745891	4711849
820	746762	4710698
821	747497	4708689
822	748553	4708703
823	749456	4707750
824	750297	4706413
825	751253	4705791
826	752286	4705659
827	753226	4704935
828	754078	4703669
829	755007	4702881
830	755937	4702091
831	756682	4700160
832	757563	4699074
833	758649	4699263
834	759616	4698703
835	760398	4697006
836	761285	4695960
837	762231	4695273
838	763109	4694170
839	763980	4693020
840	764898	4692167
841	765797	4691194
842	766897	4691448
843	767545	4688938
844	768373	4687535
845	769211	4686190
846	770183	4685661
847	771064	4684577
848	771954	4683557
849	772853	4682583
850	773541	4680336
851	774480	4679605
852	775469	4679181
853	776255	4677527
854	777092	4676186
855	777682	4673360
856	778573	4672348
857	779425	4671100
858	780089	4668728
859	781057	4668182
860	782138	4668303
861	783126	4667867
862	784126	4667506
863	785116	4667083
864	786213	4667290
865	787306	4667472
866	788150	4666178
867	789374	4667133
868	790375	4666764
869	791368	4666346
870	792462	4666522
871	793577	4666819
872	794654	4666890
873	795732	4666959
874	796761	4666744
875	797918	4667278
876	799029	4667536
877	800282	4668618
878	801177	4667612
879	802404	4668535
880	803378	4667982
881	804582	4668765
882	805352	4667030
883	806241	4665983
884	807226	4665497
885	808317	4665613
886	809127	4664112
887	810221	4664248
888	811279	4664171
889	812342	4664121
890	813259	4663233
891	814067	4661725
892	814903	4660374
893	815610	4658286
894	816423	4656809
